ID,Fecha_Creacion,Contenido,Calificacion,Valoracion,likes,dislikes,fecha_compra,Numero de Palabras,Palabras_Prohibidas,Imagenes,Reacciones,atributos,Variación_Atributos
MLM932823313,2023-07-12T17:49:49Z,"Estoy muy sorprendida, es madera de pino de muy buena calidad, el acabado (aunque no es barnizado) es muy bueno, es bastante firme.
La cama fue para mis sobrinos y la verdad es que fue una excelente elección, todos estamos muy contentos.",0,5,0,0,2023-06-27T03:17:02Z,42,0,0,,,
MLM916753787,2022-07-12T19:46:05Z,"Tiene muy buen diseño y acabado, el punto debil es la escalera, queda dentro de la base de la cama y hay que escalar en el colchón.",4,4,4,0,2022-06-20T00:34:10Z,27,0,0,,,
MLM916753787,2021-10-24T21:15:20Z,"Es exactamente la que se ve en la foto, y los instaladores hacen muy bien su trabajo.",2,5,2,0,2021-10-03T20:17:17Z,17,0,0,,,
MLM916753787,2023-12-23T18:16:11Z,"La instalación fue muy rápida y estoy muy contenta por el diseño, quedo súper bien.",0,5,0,0,2023-12-13T02:06:25Z,15,0,0,,,
MLM916753787,2023-10-03T11:57:38Z,"Me pareció el acabado muy áspero se siente muy feo sólo tiene una capa de pintura y pues comparado con el precio no está tan mal pero si esperaba que lo hubieran pulido,.",0,3,0,0,2023-08-29T02:19:40Z,33,0,0,,,
MLM916753787,2023-08-02T02:54:59Z,Solo tuve problemas con la fletera. Nunca se me indico fecha ni estatus de la guia.,0,5,0,0,2023-02-13T14:51:32Z,16,0,0,,,
MLM916753787,2023-06-17T16:05:22Z,Muy hermosa cama y a mi parecer económica.,0,5,0,0,2023-02-15T19:45:22Z,8,0,0,,,
MLM916753787,2023-04-14T08:45:18Z,Muy rápida instalación.,0,5,0,0,2023-03-22T15:25:32Z,3,0,0,,,
MLM916753787,2023-02-18T00:23:59Z,Muy bonita y practica t sobre tofo por el espacio.,-1,4,0,1,2023-01-15T17:48:36Z,10,0,0,,,
MLM663151611,2021-08-19T10:02:14Z,"Es bonita , pero muy delgada y hueca, muy ligera. Ojalá y me aguante el peso de dos adultos y espero que no se despegue de los soportes y se venga a abajo.",2,3,2,0,2021-07-29T17:13:27Z,32,0,0,,,
MLM663151611,2023-12-20T23:24:26Z,Muy recomendable.,0,5,0,0,2023-06-19T18:29:11Z,2,0,0,,,
MLM663151611,2023-10-14T01:15:39Z,A un mes muy buen producto!!.,0,5,0,0,2023-09-18T14:03:24Z,6,0,0,,,
MLM663151611,2022-06-13T00:13:42Z,"Muy bien producto, de excelente calidad.",0,5,0,0,2022-05-19T21:21:53Z,6,0,0,,,
MLM663151611,2021-04-23T20:26:19Z,Buen producto es más alto de lo que se ve.,0,5,0,0,2021-03-14T20:00:00Z,10,0,0,,,
MLM1677772313,2023-12-07T03:36:55Z,El producto es excelente y de óptima calidad.,1,5,1,0,2023-11-29T21:15:40Z,8,0,0,,,
MLM1677772313,2023-10-18T22:42:59Z,De muy buena calidad.,0,5,0,0,2023-10-13T14:29:31Z,4,0,0,,,
MLM1391054346,2023-08-28T20:48:40Z,"La base se ve de muy buena calidad y esta barnizada, me gusto mucho, el colchón se siente bien y de buena calidad para el precio, ahora que la instale ya veré pero por lo pronto estoy muy satisfecha.",3,5,3,0,2023-08-27T14:14:29Z,39,0,2,,,
MLM1391054346,2023-12-29T03:18:53Z,Exelente acabado.,0,5,0,0,2023-12-15T01:49:05Z,2,0,0,,,
MLM2552011838,2023-11-08T21:24:12Z,"La cama es estable, el material es de buena calidad para el precio, luce bien, es práctica, ya que no ocupa mucho espacio, mi único inconveniente es que uno de los orificios en los que tenía que enroscar un tornillo, no venía bien hecho (con la profundidad adecuada) y yo no tenía la herramienta para poder repararlo.",0,4,0,0,2023-10-24T16:01:54Z,57,0,0,,,
MLM2552011838,2023-10-07T02:10:56Z,Muy buen producto.,0,5,0,0,2023-09-24T22:03:59Z,3,0,0,,,
MLM893641555,2022-03-02T14:27:05Z,"Súper recomendable, excelente material, y muy lindas. Las armaron súper rápido y muy bien.
Sólo la abrazadera de la escalera desmontable es un poco frágil, debo doblarla cada que se sube una persona adulta. Pero en general creo que hice una excelente compra.",2,5,2,0,2022-01-08T22:34:16Z,43,20,0,,,
MLM893641555,2023-02-27T16:44:24Z,Muy bien.,1,5,1,0,2023-01-28T19:41:00Z,2,0,0,,,
MLM1579037426,2023-08-02T13:20:15Z,"La cam es muy bonita, el juguetero es un poco frágil hayvque tener cuidado en armarlo para que quede fime.",0,5,0,0,2023-07-21T18:10:06Z,20,0,0,,,
MLM638651348,2024-01-07T23:25:41Z,El material es de buena calidad y el diseño te obliga a darle variavilidad al acomodo de la misma.,0,5,0,0,2022-07-04T16:15:22Z,19,0,0,,,
MLM638651348,2021-02-03T17:15:14Z,"Excelente, facil de armar, justo lo que esperaba, el varandal de arriba es pequeño.",0,5,0,0,2020-12-18T20:00:00Z,14,0,0,,,
MLM638651348,2019-01-07T13:49:49Z,Cumple con las características especificadas.,0,4,0,0,0001-01-01T00:00:00Z,5,0,0,,,
MLM549745411,2020-04-09T13:05:39Z,"Excelente producto, la cama viene muy bien reforzada, un mes de uso y todo perfecto.",0,5,0,0,2020-03-13T20:00:00Z,15,0,0,,,
MLM549745411,2017-10-24T14:58:45Z,Buen producto encuanto a material. Es muy resistente.,0,4,0,0,0001-01-01T00:00:00Z,8,0,0,,,
MLM1884021263,2023-07-11T21:03:48Z,Mi producto me pareció excelente hasta ahora después de un mes todo bien.,0,5,0,0,2023-06-20T01:42:35Z,13,0,0,,,
MLM618664601,2023-07-11T17:55:48Z,"El material con el que fue fabricado es demasiado delgado y no es resistente, la litera se mueve mucho y no venia la soldadura venia recien hecha y sin pintura. No se puede desarmar.",2,3,2,0,2023-04-29T15:20:12Z,34,0,0,,,
MLM618664601,2018-10-01T13:35:00Z,Un producto de acuerdo a las necesidades bueno y confiable :lo recomiendo.,1,4,1,0,0001-01-01T00:00:00Z,12,0,0,,,
MLM618664601,2018-07-16T20:48:14Z,Excelente producto a un excelente precio.,1,5,1,0,0001-01-01T00:00:00Z,6,0,0,,,
MLM618664601,2020-02-15T13:57:40Z,Muy buen producto recomendable.,0,4,0,0,2020-01-02T20:00:00Z,4,0,0,,,
MLM618664601,2018-06-16T09:19:06Z,La escalera y el barandal quedan muy flojos y se doblan con mucha facilidad de hay en fuera todo esta bien.,0,3,0,0,0001-01-01T00:00:00Z,21,0,0,,,
MLM1334112512,2024-01-08T23:00:50Z,Buen precio sales de un apuro en un día.,0,5,0,0,2024-01-07T06:47:05Z,9,0,0,,,
MLM1334112512,2023-09-26T01:05:07Z,"Excelente.
Buenas madera.
Muy resistente.",0,5,0,0,2023-09-22T15:04:13Z,5,0,0,,,
MLM1347475181,2023-10-02T04:41:24Z,Es muy bien la calidad para el costo.,0,5,0,0,2023-09-28T22:40:49Z,8,0,0,,,
MLM2593672764,2023-12-16T00:58:15Z,Muy resistente práctica y fácil de armar.,0,5,0,0,2023-11-28T04:12:23Z,7,0,0,,,
MLM916750999,2023-06-04T05:14:00Z,"Muy bueno. Solo la escalera. El último escalón es peligroso para la última altura del colchón, de hecho debo comprar algo para sujetarme y evitar caerme. Es mi sugerencia. La escalera consideren la altura de la cama, no las hagan todas iguales.",6,3,6,0,2023-05-23T05:00:53Z,42,0,0,,,
MLM916750999,2022-09-14T12:36:23Z,"Es un buen producto, los materiales se ven buenos y al instalarlo me responden a todas mis dudas que tengo con respecto al cuidado y mantenimiento, me gustaría que él acabó fuera con algún barniz o laca para que el producto dure más tiempo.",3,5,3,0,2022-08-10T06:14:27Z,44,35,0,,,
MLM549745415,2023-12-16T06:13:25Z,Muy bien.,0,5,0,0,2023-04-14T16:36:38Z,2,0,0,,,
MLM1768178293,2023-08-12T17:11:36Z,Muy fácil de ensamblar y muy cómodo el colchon.,0,5,0,0,2023-08-03T00:39:41Z,9,0,0,,,
